x	y	z	contour type	frameID	weight	time frame
-40.98084	-25.37305	-28.61066	SAX_RV_FREEWALL	2	1.0	23
-42.67741	-24.26828	-31.01666	SAX_RV_FREEWALL	2	1.0	23
-44.90510	-24.26829	-32.73351	SAX_RV_FREEWALL	2	1.0	23
-47.13279	-24.26829	-34.45035	SAX_RV_FREEWALL	2	1.0	23
-49.36048	-24.26829	-36.16720	SAX_RV_FREEWALL	2	1.0	23
-51.58817	-24.26829	-37.88404	SAX_RV_FREEWALL	2	1.0	23
-53.81585	-24.26830	-39.60089	SAX_RV_FREEWALL	2	1.0	23
-56.04354	-24.26830	-41.31774	SAX_RV_FREEWALL	2	1.0	23
-58.27123	-24.26830	-43.03458	SAX_RV_FREEWALL	2	1.0	23
-60.49892	-24.26830	-44.75143	SAX_RV_FREEWALL	2	1.0	23
-62.19549	-23.16354	-47.15743	SAX_RV_FREEWALL	2	1.0	23
-63.89205	-22.05877	-49.56343	SAX_RV_FREEWALL	2	1.0	23
-65.58862	-20.95400	-51.96943	SAX_RV_FREEWALL	2	1.0	23
-66.75407	-18.74447	-55.06459	SAX_RV_FREEWALL	2	1.0	23
-67.91952	-16.53494	-58.15975	SAX_RV_FREEWALL	2	1.0	23
-69.08496	-14.32540	-61.25491	SAX_RV_FREEWALL	2	1.0	23
-70.78153	-13.22064	-63.66091	SAX_RV_FREEWALL	2	1.0	23
-70.83313	-11.01110	-65.89765	SAX_RV_FREEWALL	2	1.0	23
-70.88473	-8.80156	-68.13439	SAX_RV_FREEWALL	2	1.0	23
-70.93634	-6.59203	-70.37112	SAX_RV_FREEWALL	2	1.0	23
-69.87409	-4.38249	-71.74944	SAX_RV_FREEWALL	2	1.0	23
-67.69801	-2.17295	-72.26933	SAX_RV_FREEWALL	2	1.0	23
-66.63577	0.03658	-73.64764	SAX_RV_FREEWALL	2	1.0	23
-65.57352	2.24612	-75.02595	SAX_RV_FREEWALL	2	1.0	23
-64.51128	4.45566	-76.40427	SAX_RV_FREEWALL	2	1.0	23
